crime_code,crime_code_desc,mocodes,all_crime_codes
624,BATTERY - SIMPLE ASSAULT,0444 0913,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 1414,624
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,845
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,"745, 998"
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
121,"RAPE, FORCIBLE",0413 1822 1262 1415,"121, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 2004 0344 0387,"442, 998"
946,OTHER MISCELLANEOUS CRIME,1402 0392,"946, 998"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1402,"341, 998"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1300 0202 0378 0325,341
330,BURGLARY FROM VEHICLE,1822 1414 0344 1307,330
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,930
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,341
648,ARSON,1402 1501 2004,"648, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0344 1822,442
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,626
626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 2000,626
440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,"440, 624"
354,THEFT OF IDENTITY,1501 1822,354
210,ROBBERY,0416 0411 0344 1822 0305 0334 2004 1414 1202 1218,210
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0913 2004 1218,230
354,THEFT OF IDENTITY,1822,354
330,BURGLARY FROM VEHICLE,0344 0352 1307,330
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0305 0411 1202 1414 1402 1822 0906,230
624,BATTERY - SIMPLE ASSAULT,0417 0344 1823,624
121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,"121, 998"
310,BURGLARY,1402 1822 1414 0344,310
354,THEFT OF IDENTITY,0100 0930 1822,354
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444,626
510,VEHICLE - STOLEN,,510
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0910 0444 0443 0334 1202 1822 2051 2049,"930, 998"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 0913 0416 0447 1402 0319 0443 1420 2004,230
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004 1822 1402,"230, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,"442, 998"
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1310 1307 0329 1402,"740, 998"
761,BRANDISH WEAPON,1822 0334 0319 0416 0400 1402 1309 0216,"761, 998"
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1823 0913 2038 0445,236
860,BATTERY WITH SEXUAL CONTACT,1218 1822 0910 0522 0408 0448 2015 1000,860
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0337 0340 0416 0445 1822 1218 2021 1019,230
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,745
480,BIKE - STOLEN,1822 2032 0344,480
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218,745
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,236
623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,623
623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,623
440,THEFT PLAIN - PETTY ($950 & UNDER),344,440
624,BATTERY - SIMPLE ASSAULT,0416 1266 2004,624
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",913,956
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1822 0411,230
624,BATTERY - SIMPLE ASSAULT,1218 1822 0416 2034 0371,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 2004,624
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,341
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,745
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 0910,745
310,BURGLARY,1822 1414 0344 1609,310
510,VEHICLE - STOLEN,,510
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1218,440
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2034 1822,341
330,BURGLARY FROM VEHICLE,0344 1307 1822 0329 1609,330
210,ROBBERY,0334 0325 1822 0443,210
624,BATTERY - SIMPLE ASSAULT,416,624
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
310,BURGLARY,1822 0344 1602 0329,310
900,VIOLATION OF COURT ORDER,2000 2038,900
210,ROBBERY,2004 0913 0344 0334 0302 1402 1202,"210, 998"
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0417 2002,626
624,BATTERY - SIMPLE ASSAULT,0400 2033 1822,624
310,BURGLARY,1822 1218 0344 1206 1605,310
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
888,TRESPASSING,2004 0913,888
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 1218 2004 1202,230
860,BATTERY WITH SEXUAL CONTACT,1822 0522 2034 2014,860
330,BURGLARY FROM VEHICLE,1609 0344 1307 1822,330
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 1810 2032,440
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1300 1309 2004 0913 1268 2003 1218,230
626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0448 0429 0416 1243 1813 2000,626
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0411 0400 1822 0445,230
888,TRESPASSING,1501 2004,888
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416 1414 1276 0417,626
624,BATTERY - SIMPLE ASSAULT,0416 1822 0429,624
624,BATTERY - SIMPLE ASSAULT,0416 1218 2004 1202 2034,624
510,VEHICLE - STOLEN,,510
510,VEHICLE - STOLEN,,510
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
354,THEFT OF IDENTITY,1501,354
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0447,745
121,"RAPE, FORCIBLE",0913 0527 1259 0522,"121, 812"
330,BURGLARY FROM VEHICLE,1822 1307 0344 0329,330
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1218 1000 0345 0344,440
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1218 0344 2032,440
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 0603,745
624,BATTERY - SIMPLE ASSAULT,1218 0913 0340 0416 1268,624
761,BRANDISH WEAPON,1218 1822 0443,761
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,745
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0344 2004 0378,"442, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0907 2004 0344,"442, 998"
210,ROBBERY,0305 1309 0355 0334 0302 0344 1822,210
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1310 0411 1822 0319,230
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1218 0377 0913 0344,341
440,THEFT PLAIN - PETTY ($950 & UNDER),0377 1822 2032 0344,440
330,BURGLARY FROM VEHICLE,1822 0377 0329 1307 0344,330
330,BURGLARY FROM VEHICLE,0344 0321 1822 0386,330
330,BURGLARY FROM VEHICLE,1307 1822 0377 0344,330
330,BURGLARY FROM VEHICLE,1307 1822 1414 0329 0344,330
210,ROBBERY,0913 1814 0448 2000,210
624,BATTERY - SIMPLE ASSAULT,444,624
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,331
624,BATTERY - SIMPLE ASSAULT,416,624
354,THEFT OF IDENTITY,1822 0100 0928,354
210,ROBBERY,1822 0342 1100 0334 0302 0430 1300 1309 1407 1409,210
510,VEHICLE - STOLEN,,510
901,VIOLATION OF RESTRAINING ORDER,1813 2000 2038,901
624,BATTERY - SIMPLE ASSAULT,0416 1822 1414 0429,624
624,BATTERY - SIMPLE ASSAULT,0416 1218 2033 1822,624
330,BURGLARY FROM VEHICLE,1822 0344 1307 1609,330
886,DISTURBING THE PEACE,1501 0603 0361,886
901,VIOLATION OF RESTRAINING ORDER,0913 2038,901
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,442
440,THEFT PLAIN - PETTY ($950 & UNDER),0910 0344,440
330,BURGLARY FROM VEHICLE,1307 1609 0344,330
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,442
440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,440
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 0302 1309 0334 1100 1407 1822,"230, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,442
888,TRESPASSING,1501,888
624,BATTERY - SIMPLE ASSAULT,1601 0444 0416,624
330,BURGLARY FROM VEHICLE,0344 1307 1609 0329,330
624,BATTERY - SIMPLE ASSAULT,0913 0416 0910 1820 2048,624
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,440
210,ROBBERY,0357 0444 0429 0344 1202 1822 0377 1602,210
440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,440
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0377 1606 0321 0344,420
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,740
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 2004 1218,626
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,440
510,VEHICLE - STOLEN,,510
624,BATTERY - SIMPLE ASSAULT,0416 2004,624
310,BURGLARY,1822 1420 0344,310
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1202 1822 1218,341
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,421,930
623,BATTERY POLICE (SIMPLE),1212 0356,623
330,BURGLARY FROM VEHICLE,0344 1609 1212 1822 0321,330
330,BURGLARY FROM VEHICLE,0344 1609 1307 1822 1414,330
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,956
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,420
626,INTIMATE PARTNER - SIMPLE ASSAULT,1414 2033 0416 2000 1814,626
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1414 0443 2004 0329,740
210,ROBBERY,2028 0913 0910 0344 0444 0416,210
350,"THEFT, PERSON",0355 0344 0400 1822 0377,350
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1300 1822 1501 1606,421
888,TRESPASSING,0910 1501 2004,888
624,BATTERY - SIMPLE ASSAULT,0416 0913,624
888,TRESPASSING,0910 0329 2004,888
946,OTHER MISCELLANEOUS CRIME,0432 0913 1258,946
647,THROWING OBJECT AT MOVING VEHICLE,1300 0447 0329 1822,647
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2034 1822,440
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1822,745
310,BURGLARY,0344 1822,310
330,BURGLARY FROM VEHICLE,1606 0344,330
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
354,THEFT OF IDENTITY,100,354
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1414 2004 0445 1822 2003,230
940,EXTORTION,0337 1803,940
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1268 1822 0305 0411 1218,230
330,BURGLARY FROM VEHICLE,1307 1822 0344,330
624,BATTERY - SIMPLE ASSAULT,0448 0305 0913 0554,624
624,BATTERY - SIMPLE ASSAULT,0910 0416 1822 1202,624
510,VEHICLE - STOLEN,,510
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,442
330,BURGLARY FROM VEHICLE,1822 1414 1307 0344 0329,330
330,BURGLARY FROM VEHICLE,1606 0344,330
354,THEFT OF IDENTITY,0922 0935,354
480,BIKE - STOLEN,1822 0910 0344 0345 2049,480
624,BATTERY - SIMPLE ASSAULT,0305 0416 1822,624
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1259,810
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1802,956
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,442
330,BURGLARY FROM VEHICLE,0329 0344 1609 1307,330
624,BATTERY - SIMPLE ASSAULT,0910 0416 2034 1822,624
662,"BUNCO, GRAND THEFT",701,662
510,VEHICLE - STOLEN,,510
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,745
330,BURGLARY FROM VEHICLE,0344 1307 1609 1212 1822,330
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,930
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0319 1276 1414 1813 2000 0444 0416,236
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2032,440
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,745
624,BATTERY - SIMPLE ASSAULT,0400 0913 1817,624
330,BURGLARY FROM VEHICLE,0377 1822 0329 0344 1307 1609,330
922,CHILD STEALING,0602 0553 1257 0913,922
888,TRESPASSING,1501 2004,888
480,BIKE - STOLEN,1822 1608 0344,480
330,BURGLARY FROM VEHICLE,1307 1822 0329 1609 0344,330
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344,440
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0552 0602 0503 0522 0551 1258,"812, 860"
330,BURGLARY FROM VEHICLE,1609 0344,330
330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,330
330,BURGLARY FROM VEHICLE,1609 0344,330
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,330
624,BATTERY - SIMPLE ASSAULT,1218 0447 1822 1202,624
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0910,740
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1414,740
624,BATTERY - SIMPLE ASSAULT,0444 1266 1822 1300,624
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,330
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1606 1822,341
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,330
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 0400 0408 1813,236
480,BIKE - STOLEN,0344 1822,480
860,BATTERY WITH SEXUAL CONTACT,0551 2004 1402,"860, 998"
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,440
946,OTHER MISCELLANEOUS CRIME,1501,946
888,TRESPASSING,2004 1501,888
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,740
330,BURGLARY FROM VEHICLE,1609 1307 1822 0329 0344,330
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,930
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0910 0104 1822 2004 0344,442
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1236 1300 1309,745
220,ATTEMPTED ROBBERY,1822 1019 0416 2004,220
330,BURGLARY FROM VEHICLE,1609 0344,330
625,OTHER ASSAULT,0356 1822 1266,625
350,"THEFT, PERSON",0448 0344 2000 1814 2002 0421,350
755,BOMB SCARE,0404 1822,755
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,442
354,THEFT OF IDENTITY,1822 0930,354
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1414 0416 1402 2000 1814 1218 2004,"236, 998"
510,VEHICLE - STOLEN,,510
330,BURGLARY FROM VEHICLE,0344 1822 1601,330
624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 2034,624
624,BATTERY - SIMPLE ASSAULT,0444 0429 1822 1202 2004,624
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 2032 0377 1822 1218,440
624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 0913,624
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,341
330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,330
